Start_UTC, Stop_UTC, Mid_UTC, NO3, SO4, NH4, ORG, Chl, mz44, mz57, mz60, HCr, OCr 
29642.5, 29646.5, 29644.5,  2.09,  1.35,  1.13, 13.20, -0.01,  4.17,  0.08,  0.13,  1.12,  0.84
29647.2, 29651.2, 29649.2,  1.44,  0.76,  0.77,  9.98,  0.03,  3.19,  0.02,  0.16,  1.24,  0.84
29652.0, 29656.0, 29654.0,  1.47,  0.81,  0.81,  9.14,  0.06,  3.06,  0.10,  0.04,  1.16,  0.84
29656.8, 29660.8, 29658.8,  1.52,  0.93,  0.90, 10.66, -0.06,  3.48,  0.13,  0.05,  1.16,  0.83
29661.6, 29665.6, 29663.6,  1.64,  1.17,  0.95, 10.17,  0.08,  3.19,  0.13,  0.03,  1.17,  0.81
29666.4, 29670.4, 29668.4,  1.62,  1.01,  1.00, 10.60,  0.04,  3.41,  0.10,  0.12,  1.14,  0.85
29671.2, 29675.2, 29673.2,  1.39,  0.91,  0.78,  8.24,  0.07,  2.87,  0.06,  0.03,  1.07,  0.94
29676.0, 29680.0, 29678.0,  1.29,  0.75,  0.65,  8.31, -0.00,  2.91,  0.15,  0.05,  1.16,  0.89
29680.8, 29684.8, 29682.8,  1.14,  0.77,  0.59,  8.01,  0.01,  2.74,  0.08,  0.05,  1.19,  0.89
29685.5, 29689.5, 29687.5,  0.92,  0.76,  0.56,  6.42,  0.00,  2.12, -0.11, -0.01,  1.30,  0.78
29690.3, 29694.3, 29692.3,  0.97,  0.62,  0.59,  7.93, -0.01,  2.32, -0.02,  0.04,  1.22,  0.73
29695.1, 29699.1, 29697.1,  1.08,  0.68,  0.59,  7.49,  0.03,  2.29,  0.10,  0.07,  1.12,  0.83
29699.9, 29703.9, 29701.9,  1.14,  0.62,  0.56,  6.54,  0.07,  2.08,  0.09,  0.03,  1.37,  0.76
29704.7, 29708.7, 29706.7,  1.12,  0.65,  0.64,  6.39,  0.08,  2.01,  0.08,  0.08,  1.16,  0.75
