Start_UTC,End_UTC,Mid_UTC,CO_ppbv,CO2_ppmv,H2O_ppmv
28968.578, 28969.525, 28969.052, -9999.00,-9999.00,-9999.00
28969.537, 28970.484, 28970.011, -9999.00,-9999.00,-9999.00
28970.484, 28971.430, 28970.957, -9999.00,-9999.00,-9999.00
28971.430, 28972.376, 28971.903, -9999.00,-9999.00,-9999.00
28972.376, 28973.322, 28972.849, -9999.00,-9999.00,-9999.00
28973.322, 28974.269, 28973.795, -9999.00,-9999.00,-9999.00
28974.269, 28975.216, 28974.742, -9999.00,-9999.00,-9999.00
28975.236, 28976.182, 28975.709, -9999.00,-9999.00,-9999.00
28976.187, 28977.133, 28976.660, -9999.00,-9999.00,-9999.00
28977.133, 28978.079, 28977.606, -9999.00,-9999.00,-9999.00
28978.079, 28979.026, 28978.552, -9999.00,-9999.00,-9999.00
28979.026, 28979.972, 28979.499, -9999.00,-9999.00,-9999.00
28979.983, 28980.927, 28980.455, -9999.00,-9999.00,-9999.00
28980.937, 28981.883, 28981.410, -9999.00,-9999.00,-9999.00
28981.883, 28982.829, 28982.356, -9999.00,-9999.00,-9999.00
28982.829, 28983.776, 28983.302, -9999.00,-9999.00,-9999.00
28983.776, 28984.722, 28984.249, -9999.00,-9999.00,-9999.00
28984.722, 28985.668, 28985.195, -9999.00,-9999.00,-9999.00
28985.672, 28986.618, 28986.145, -9999.00,-9999.00,-9999.00
28986.634, 28987.580, 28987.107, -9999.00,-9999.00,-9999.00
28987.580, 28988.526, 28988.053, -9999.00,-9999.00,-9999.00
28988.526, 28989.472, 28988.999, -9999.00,-9999.00,-9999.00
28989.472, 28990.419, 28989.945, -9999.00,-9999.00,-9999.00
28990.419, 28991.365, 28990.892, -9999.00,-9999.00,-9999.00
28991.365, 28992.311, 28991.838, -9999.00,-9999.00,-9999.00
28992.328, 28993.274, 28992.801, -9999.00,-9999.00,-9999.00
28993.277, 28994.223, 28993.750, -9999.00,-9999.00,-9999.00
28994.223, 28995.171, 28994.697, -9999.00,-9999.00,-9999.00
28995.171, 28996.117, 28995.644, -9999.00,-9999.00,-9999.00
28996.117, 28997.063, 28996.590, -9999.00,-9999.00,-9999.00
28997.074, 28998.019, 28997.546, -9999.00,-9999.00,-9999.00
28998.028, 28998.974, 28998.501, -9999.00,-9999.00,-9999.00
28998.974, 28999.922, 28999.448, -9999.00,-9999.00,-9999.00
28999.922, 29000.868, 29000.395, -9999.00,-9999.00,-9999.00
29000.868, 29001.814, 29001.341, -9999.00,-9999.00,-9999.00
29001.814, 29002.760, 29002.287, -9999.00,-9999.00,-9999.00
29002.764, 29003.709, 29003.237, -9999.00,-9999.00,-9999.00
29003.721, 29004.668, 29004.194, -9999.00,-9999.00,-9999.00
29004.668, 29005.615, 29005.142, -9999.00,-9999.00,-9999.00
29005.615, 29006.560, 29006.087, -9999.00,-9999.00,-9999.00
29006.560, 29007.506, 29007.033, -9999.00,-9999.00,-9999.00
29007.506, 29008.452, 29007.979, -9999.00,-9999.00,-9999.00
29008.452, 29009.397, 29008.925, -9999.00,-9999.00,-9999.00
29009.410, 29010.357, 29009.883, -9999.00,-9999.00,-9999.00
