Start_UTC,Latitude,Longitude,GPS_Alt,AOD0501,CO_ppbv,Mid_UTC,Number_Concentration,rBC_massConc,ORG,CDP_LWC
40198.0,-14.8575003,5.0,4866.5,0.018000000000000002,69.72,40199.0,0.0,,,0.0
40199.0,-14.8588446,4.9999897,4866.8,0.02,70.39,40200.0,0.0,,,0.0
40200.0,-14.8601261,4.9999,4867.1,0.018000000000000002,70.82,40201.0,0.0,,-0.14,0.0
40201.0,-14.861497199999999,4.9999,4867.6,0.019,69.91,40202.0,0.0,,,0.0
40202.0,-14.862766699999998,4.9999,4866.4,0.019,68.83,40203.0,0.0,,,0.0
40203.0,-14.864042999999999,4.9999,4866.8,0.019,67.03,40204.0,3.0,,,0.0
40204.0,-14.865310199999998,4.9999,4867.0,0.019,69.52,40205.0,37.0,,,0.0
40205.0,-14.8674223,4.9999,4867.4,0.018000000000000002,70.22,40206.0,70.0,,-0.11,0.0
40206.0,-14.869362900000002,4.9999,4865.5,0.018000000000000002,69.42,40206.0,70.0,,,0.0
40207.0,-14.870671,4.9999,4863.3,0.019,70.08,40207.0,89.0,,,0.0
40224.0,-14.8942921,4.9998835,4866.7,6.86,69.33,40224.0,,,,0.0
40225.0,-14.895648999999999,4.9999,4866.9,6.86,68.36,40225.0,,,,0.0
40226.0,-14.8966164,4.9999,4867.3,0.42,70.63,40226.0,,,,0.0
40227.0,-14.8978777,4.9999,4865.1,0.021,68.67,40227.0,,,,0.0
40228.0,-14.899073000000001,4.9999,4866.4,0.02,66.43,40228.0,,,-0.19,0.0
40229.0,-14.9003353,4.9999,4866.5,0.02,68.28,40229.0,,,,0.0
40230.0,-14.9015374,4.9999,4865.5,0.019,69.17,40230.0,,,,0.0
40231.0,-14.9035484,4.9999,4864.9,0.019,73.14,40231.0,,,,0.0
40232.0,-14.905399,4.9999,4864.5,0.019,72.645,40232.0,,,-0.01,0.0
40233.0,-14.9066144,4.9999,4863.9,0.019,71.07,40234.0,,,,0.0
40234.0,-14.907866,4.9999,4863.8,0.018000000000000002,69.92,40235.0,,,,0.0
40235.0,-14.909069899999999,4.9999,4863.7,0.019,69.01,40236.0,,,,0.0
40236.0,-14.9103236,4.9999,4862.8,0.02,68.12,40237.0,,,,0.0
40237.0,-14.911512599999998,4.9999,4866.4,0.019,69.69,40238.0,,,0.26,0.0
40238.0,-14.9127739,4.9999,4866.2,0.019,70.39,40239.0,,,,0.0
40239.0,-14.9139695,4.9999,4864.9,0.022000000000000002,69.52,40240.0,,,,0.0
40240.0,-14.915231400000001,4.9999737,4867.8,0.018000000000000002,69.61,40241.0,,,,0.0
40241.0,-14.916434599999999,5.0,4868.5,0.017,69.06,40241.0,,,,0.0
40242.0,-14.918388199999999,5.0000551,4872.3,0.018000000000000002,68.92,40242.0,,,-0.12,0.0
40243.0,-14.920196100000002,5.0001,4877.3,0.018000000000000002,69.74,40243.0,,,,0.0
40244.0,-14.921374100000001,5.0001,4881.2,0.018000000000000002,68.68,40244.0,,,,0.0
40245.0,-14.9225624,5.0001,4885.2,0.017,68.5,40245.0,,,,0.0
40246.0,-14.9237471,5.000119000000001,4886.7,0.019,69.64,40246.0,,,,0.0
40247.0,-14.924920000000002,5.0002,4888.0,0.018000000000000002,67.3,40247.0,,,-0.05,0.0
40248.0,-14.9261082,5.0002,4893.3,0.018000000000000002,67.62,40248.0,,,,0.0
40249.0,-14.9272804,5.0002,4894.1,0.019,67.06,40249.0,,,,0.0
40250.0,-14.9284671,5.0002821,4897.2,0.018000000000000002,69.59,40250.0,,,,0.0
40251.0,-14.9296554,5.0003,4901.2,0.018000000000000002,71.83,40252.0,,,-0.04,0.0
40252.0,-14.9308315,5.0003,4902.6,0.018000000000000002,71.8,40253.0,,,,0.0
40253.0,-14.932726,5.000354799999999,4906.7,0.018000000000000002,70.82,40254.0,,,,0.0
40254.0,-14.934493099999997,5.0004456,4911.3,0.018000000000000002,70.89,40255.0,,,,0.0
40255.0,-14.9356718,5.0005,4913.4,0.018000000000000002,71.74,40256.0,,,,0.0
40256.0,-14.936860099999999,5.0005,4915.1,0.019,73.11,40257.0,,,-0.15,0.0
40257.0,-14.9380259,5.000518799999999,4917.1,0.018000000000000002,74.05,40258.0,,,,0.0
40258.0,-14.939117600000001,5.0006,4919.7,0.018000000000000002,74.6,40259.0,,,,0.0
40259.0,-14.9403059,5.0006005,4918.6,0.018000000000000002,75.05,40259.0,,,,0.0
40260.0,-14.941494199999998,5.0006919000000005,4921.4,0.018000000000000002,76.97,40260.0,,,,0.0
40261.0,-14.942666899999999,5.0007,4924.4,0.018000000000000002,76.7,40261.0,,,0.07,0.0
40262.0,-14.9438126,5.0007,4924.7,0.018000000000000002,77.72,40262.0,,,,0.0
40263.0,-14.944945800000001,5.0007621,4925.4,0.018000000000000002,77.11,40263.0,,,,0.0
40264.0,-14.9468212,5.0008547,4925.9,0.018000000000000002,79.79,40264.0,,,,0.0
40265.0,-14.948590300000003,5.0009,4927.7,0.018000000000000002,79.46,40265.0,,,,0.0
40266.0,-14.949732199999998,5.000936,4928.8,0.018000000000000002,81.54,40266.0,,,0.37,0.0
40267.0,-14.9508565,5.001,4927.6,0.018000000000000002,80.49,40267.0,,,,0.0
40268.0,-14.9520413,5.001,4929.2,0.019,82.055,40268.0,,,,0.0
40269.0,-14.953205300000002,5.001008799999999,4930.5,0.018000000000000002,86.67,40270.0,,,,0.0
40270.0,-14.954302400000001,5.0011,4930.7,0.018000000000000002,87.44,40271.0,,,,0.0
40271.0,-14.9554907,5.0011,4927.4,0.018000000000000002,93.07,40272.0,,,0.2,0.0
40272.0,-14.9566644,5.001181900000001,4930.1,0.018000000000000002,92.25,40273.0,,,,0.0
40273.0,-14.9578495,5.0012,4928.5,0.018000000000000002,95.33,40274.0,,,,0.0
40274.0,-14.9589622,5.0012,4928.1,0.019,98.04,40275.0,,,,0.0
40275.0,-14.9608141,5.0012544000000005,4930.3,0.019,97.33,40276.0,,,0.23,0.0
40276.0,-14.962586800000002,5.001345099999999,4929.9,0.019,97.85,40276.0,,,,0.0
40277.0,-14.9637289,5.0014,4927.7,0.018000000000000002,98.71,40277.0,,,,0.0
40278.0,-14.964871599999999,5.0014142999999995,4928.3,0.019,96.43,40278.0,,,,0.0
40296.0,-14.9875424,5.002297,4911.3,6.875,71.3,40296.0,,,,0.0
40297.0,-14.9892981,5.0023653,4910.0,0.381,72.15,40297.0,,,,0.0
40298.0,-14.990744099999999,5.0024,4908.3,0.381,68.43,40298.0,,,,0.0
40299.0,-14.991870800000001,5.0024362,4906.2,0.019,70.44,40299.0,,,-0.0,0.0
40300.0,-14.993047,5.0025,4904.8,0.019,69.32,40300.0,,,,0.0
40301.0,-14.994231900000003,5.0025178,4904.9,0.018000000000000002,68.91,40301.0,,,,0.0
40302.0,-14.9954046,5.0026,4905.0,0.019,70.62,40302.0,,,,0.0
40303.0,-14.9965929,5.0026,4902.7,0.018000000000000002,72.08000000000001,40303.0,,,,0.0
40304.0,-14.9977652,5.002689599999999,4905.2,0.019,73.81,40305.0,,,0.16,0.0
40305.0,-14.9989516,5.0027,4902.5,0.019,73.09,40306.0,,,,0.0
40306.0,-15.0001399,5.0027723,4900.7,0.018000000000000002,71.99,40307.0,,,,0.0
40307.0,-15.0013163,5.0028,4900.1,0.018000000000000002,73.8,40308.0,,,,0.0
40308.0,-15.0031951,5.0028537,4900.6,0.054000000000000006,75.86,40309.0,,,,0.0
40309.0,-15.004977400000001,5.0029444000000005,4900.0,0.054000000000000006,75.57,40310.0,,,-0.14,0.0
40310.0,-15.0061551,5.003035,4898.8,0.353,74.97,40311.0,,,,0.0
40311.0,-15.007343400000002,5.0031264,4898.4,0.501,73.36,40311.0,,,,0.0
40312.0,-15.008510999999999,5.0032176,4895.5,0.147,70.1,40312.0,,,,0.0
40313.0,-15.0096022,5.0033079,4894.6,0.022000000000000002,69.88,40313.0,,,0.15,0.0
40314.0,-15.0107905,5.0033993,4892.7,0.018000000000000002,70.22,40314.0,,,,0.0
40315.0,-15.0119788,5.003581400000001,4889.9,0.018000000000000002,71.95,40315.0,,,,0.0
40316.0,-15.0131517,5.0037617999999995,4887.1,0.018000000000000002,69.99,40316.0,,,,0.0
40317.0,-15.0143364,5.004016099999999,4885.5,0.017,69.49,40317.0,,,0.05,0.0
40318.0,-15.0154509,5.0042252000000005,4881.6,0.016,70.84,40318.0,,,,0.0
40319.0,-15.017236800000001,5.0046743,4874.2,0.016,73.04,40319.0,,,,0.0
40320.0,-15.018975,5.0051769,4867.7,0.016,71.77,40320.0,,,,0.0
40321.0,-15.0201179,5.0055393,4864.1,0.017,69.7,40322.0,,,,0.0
40322.0,-15.021244199999998,5.0059290999999995,4860.2,0.016,70.94,40323.0,,,0.07,0.0
40340.0,-15.0404782,5.018689599999999,4761.6,8.089,66.94,40341.0,,,,0.0
40341.0,-15.0413342,5.0196177,4756.4,8.089,68.54,40342.0,,,0.03,0.0
40343.0,-15.042590599999999,5.0211882,4748.5,7.812,71.36,40344.0,,,,0.0
40344.0,-15.043374800000002,5.0222847,4743.3,8.241,69.35,40345.0,,,,0.0
40345.0,-15.044150899999998,5.0233713,4738.0,8.241,70.75,40345.0,,,,0.0
40347.0,-15.045457,5.0251998,4726.8,8.088,68.42,40347.0,,,,0.0
40348.0,-15.0462206,5.026477900000001,4721.1,8.088,69.25,40348.0,,,,0.0
40349.0,-15.047015300000002,5.0278580999999996,4715.4,8.166,70.05,40349.0,,,,0.0
40350.0,-15.0476946,5.029124700000001,4709.5,8.166,69.3,40350.0,,,-0.14,0.0
