Start_UTC,Latitude,Longitude,GPS_Alt,AOD0501,CO_ppbv,Mid_UTC,Number_Concentration,rBC_massConc,CDP_LWC
40176.0,-12.5789312,5.0001,5483.8,0.013000000000000001,78.19,40177.0,,,0.0
40177.0,-12.580236099999999,5.0001,5484.4,0.013000000000000001,78.05,40178.0,,,0.0
40178.0,-12.5815804,5.0001,5484.4,0.013000000000000001,78.82,40179.0,,,0.0
40179.0,-12.5831146,5.0001,5482.2,0.013000000000000001,77.03,40180.0,,,0.0
40180.0,-12.5855203,5.0001,5482.6,0.013000000000000001,78.38,40181.0,,,0.0
40181.0,-12.5868,5.0001,5481.5,0.013000000000000001,77.72,40182.0,,,0.0
40182.0,-12.5881724,5.0001,5486.3,0.013000000000000001,77.94,40183.0,,,0.0
40183.0,-12.589444,5.0001,5485.0,0.013000000000000001,78.14,40184.0,,,0.0
40184.0,-12.5907209,5.0001,5484.1,0.012,78.99,40184.0,,,0.0
40185.0,-12.5919879,5.0001,5485.9,0.013000000000000001,78.45,40185.0,,,0.0
40186.0,-12.5932601,5.0001,5485.2,0.013000000000000001,80.79,40186.0,,,0.0
40187.0,-12.594540400000001,5.0001,5483.8,0.013000000000000001,77.27,40187.0,,,0.0
40188.0,-12.59585,5.0001,5484.5,0.013000000000000001,76.46,40188.0,,,0.0
40189.0,-12.597180400000001,5.0001,5484.7,0.013000000000000001,77.06,40189.0,,,0.0
40190.0,-12.5987146,5.0001,5481.9,0.013000000000000001,76.12,40190.0,,,0.0
40191.0,-12.601120300000002,5.0001,5480.0,0.013000000000000001,76.99,40191.0,,,0.0
40192.0,-12.6024,5.0001,5486.4,0.013000000000000001,78.485,40192.0,,,0.0
40193.0,-12.6037724,5.0001,5484.7,0.013000000000000001,76.6,40194.0,,,0.0
40194.0,-12.605044,5.0001,5483.3,0.013000000000000001,78.66,40195.0,,,0.0
40195.0,-12.6063209,5.0001,5484.2,0.013000000000000001,78.12,40196.0,,,0.0
40196.0,-12.6075879,5.0001,5483.8,0.013000000000000001,76.39,40197.0,,,0.0
40197.0,-12.6088601,5.0001,5483.5,0.013000000000000001,77.56,40198.0,,,0.0
40198.0,-12.6101862,5.0001,5483.7,0.013000000000000001,77.12,40199.0,,,0.0
40199.0,-12.6115133,5.0001,5484.7,0.013000000000000001,77.77,40200.0,,,0.0
40200.0,-12.6127804,5.0001,5485.6,0.013000000000000001,81.41,40201.0,,,0.0
40201.0,-12.6143146,5.0001,5483.6,0.013000000000000001,76.62,40201.0,,,0.0
40202.0,-12.6167289,5.0001,5484.9,0.013000000000000001,79.17,40202.0,,,0.0
40203.0,-12.6181,5.0001,5485.5,0.013000000000000001,78.65,40203.0,,,0.0
40204.0,-12.619380900000001,5.0001,5483.3,0.013000000000000001,78.04,40204.0,,,0.0
40205.0,-12.620644,5.0001,5483.8,0.013000000000000001,77.07,40205.0,,,0.0
40206.0,-12.621920900000001,5.0000271,5485.1,0.013000000000000001,78.58,40206.0,,,0.0
40207.0,-12.6231879,5.0,5483.7,0.013000000000000001,79.09,40207.0,,,0.0
